Major ID,Required Course ID,Required Bucket ID,Required Course,Required Course Name,Required Course Number of Hours,Required Bucket Number of Hours,Required Bucket Name,List of Courses in Bucket
9,4,NULL,,,,,,
9,2,NULL,,,,,,
9,NULL,11,,,,,,
9,6,NULL,,,,,,
9,7,NULL,,,,,,
9,34,NULL,,,,,,
9,41,NULL,,,,,,
9,15,NULL,,,,,,
9,11,NULL,,,,,,
9,65,NULL,,,,,,
9,101,NULL,,,,,,
9,102,NULL,,,,,,
9,106,NULL,,,,,,
9,NULL,32,,,,,,
9,109,NULL,,,,,,
9,3,NULL,,,,,,
9,27,NULL,,,,,,
9,37,NULL,,,,,,
9,97,NULL,,,,,,
9,74,NULL,,,,,,
9,78,NULL,,,,,,
9,14,NULL,,,,,,
9,99,NULL,,,,,,
9,75,NULL,,,,,,
9,100,NULL,,,,,,
9,103,NULL,,,,,,
9,104,NULL,,,,,,
9,105,NULL,,,,,,
9,107,NULL,,,,,,
9,110,NULL,,,,,,
9,111,NULL,,,,,,
