Major ID,Required Course ID,Required Bucket ID,Required Course,Required Course Name,Required Course Number of Hours,Required Bucket Number of Hours,Required Bucket Name,List of Courses in Bucket
11,4,NULL,,,,,,
11,NULL,11,,,,,,
11,2,NULL,,,,,,
11,3,,EF 105,,,,,
11,5,NULL,,,,,,
11,7,NULL,MATH 142,,,,,
11,,,EF 152,,,,,
11,,,MATH 231,,,,,
11,,,STATS 251,,,,,
11,,,MATH 241,,,,,
11,NULL,16,,,,,,
11,,,ECON 201,,,,,
11,,,ME 202,,,,,
11,,,CE 210,,,,,
11,,,EF 142,,,,,
11,,,EF 141,,,,,
11,NULL,22,,,,,,
11,,,CE 205,,,,,
11,,,CE 262,,,,,
11,,,CE 391,,,,,
11,,,MATH 241,,,,,
11,,,CE 310,,,,,
11,,,CE 331,,,,,
11,,,CE 355,,,,,
11,,,CE 371,,,,,
11,,,CE 381,,,,,
11,NULL,18,,,,,,
11,,,CE 300,,,,,
11,,,CE 305,,,,,
11,,,CE 321,,,,,
11,,,CE 340,,,,,
11,,,EF 230,,,,,
11,,,CE 399S,,,,,
11,,,CE 401,,,,,
11,,,CE 400,,,,,
