Major ID,Required Course ID,Required Bucket ID,Required Course,Required Course Name,Required Course Number of Hours,Required Bucket Number of Hours,Required Bucket Name,List of Courses in Bucket
4,NULL,11,,,,,,
4,NULL,34,,,,,,
4,3,NULL,,,,,,
4,4,NULL,,,,,,
4,NULL,36,,,,,,
4,7,NULL,,,,,,
4,6,NULL,,,,,,
4,37,NULL,,,,,,
4,66,NULL,,,,,,
4,15,NULL,,,,,,
4,112,NULL,,,,,,
4,113,NULL,,,,,,
4,74,NULL,,,,,,
4,14,NULL,,,,,,
4,11,NULL,,,,,,
4,41,NULL,,,,,,
4,78,NULL,,,,,,
4,34,NULL,,,,,,
4,87,NULL,,,,,,
4,75,NULL,,,,,,
4,101,NULL,,,,,,
4,114,NULL,,,,,,
4,99,NULL,,,,,,
4,102,NULL,,,,,,
4,115,NULL,,,,,,
4,106,NULL,,,,,,
4,117,NULL,,,,,,
4,103,NULL,,,,,,
4,116,NULL,,,,,,
4,27,NULL,,,,,,
4,122,NULL,,,,,,
4,124,NULL,,,,,,
