Major ID,Required Course ID,Required Bucket ID,Required Course,Required Course Name,Required Course Number of Hours,Required Bucket Number of Hours,Required Bucket Name,List of Courses in Bucket
2,NULL,11,,,,,,
2,NULL,34,,,,,,
2,62,NULL,COSC 101,,,,,
2,NULL,36,,,,,,
2,7,NULL,MATH 142; MATH 148,,,,,
2,6,NULL,EF 152; EF 158,,,,,
2,63,NULL,COSC 102,,,,,
2,NULL,66,,,,,,
2,11,,MATH 231; MATH 237,,,,,
2,216,NULL,ECE 201,,,,,
2,25,NULL,COSC 202,,,,,
2,14,NULL,PHYS 231,,,,,
2,217,NULL,ECE 255,,,,,
2,15,NULL,MATH 241; MATH 247,,,,,
2,218,NULL,ECE 202,,,,,
2,98,NULL,MATH 251; MATH 257,,,,,
2,230,NULL,ECE 256,,,,,
2,4,NULL,CHEM 122; CHEM 123; CHEM 128,,,,,
2,231,NULL,ECE 351; ECE 357,,,,,
2,222,NULL,ECE 335,,,,,
2,232,NULL,COSC 302; COSC 307,,,,,
2,233,,ECE 313; ECE 317,,,,,
2,223,,ECE 395,,,,,
2,220,,ECE 315,,,,,
2,234,,COSC 311; COSC 317,,,,,
2,235,,COSC 360; COSC 367,,,,,
2,236,,ECE 356; ECE 358,,,,,
2,228,,ECE 401,,,,,
2,NULL,79,,,,,,
2,NULL,80,,,,,,
2,NULL,80,,,,,,
2,229,,ECE 402,,,,,
2,NULL,79,,,,,,
2,NULL,80,,,,,,
