Major ID,Required Course ID,Required Bucket ID,Required Course,Required Course Name,Required Course Number of Hours,Required Bucket Number of Hours,Required Bucket Name,List of Courses in Bucket
10,NULL,11,,,,,,
10,NULL,23,,,,,,
10,NULL,34,,,,,,
10,3,NULL,EF 105,,,,,
10,NULL,36,,,,,,
10,NULL,23,,,,,,
10,NULL,3,,,,,,
10,NULL,2,,,,,,
10,NULL,19,,,,,,
10,135,NULL,NE 101,,,,,
10,NULL,27,,,,,,
10,67,NULL,NE 200,,,,,
10,37,NULL,ME 202,,,,,
10,14,NULL,PHYS 231,,,,,
10,NULL,25,,,,,,
10,NULL,26,,,,,,
10,125,NULL,NE 233,,,,,
10,75,NULL,ME 331,,,,,
10,NULL,37,,,,,,
10,126,NULL,NE 250,,,,,
10,145,NULL,,,,,,
10,146,39,,,,,,
10,127,NULL,PHYS 341,,,,,
10,128,NULL,NE 401,,,,,
10,147,NULL,,,,,,
10,129,NULL,NE 340,,,,,
10,130,NULL,NE 470,,,,,
10,NULL,41,,,,,,
10,NULL,,,,,,,
10,131,NULL,NE 360,,,,,
10,132,NULL,NE 471,,,,,
10,133,NULL,NE 400,,,,,
10,NULL,41,,,,,,
10,134,NULL,NE 472,,,,,
10,NULL,41,,,,,,
10,NULL,41,,,,,,
