Major ID,Required Course ID,Required Bucket ID,Required Course,Required Course Name,Required Course Number of Hours,Required Bucket Number of Hours,Required Bucket Name,List of Courses in Bucket
12,3,,,,,,,
12,136,,,,,,,
12,4,,,,,,,
12,NULL,34,,,,,,
12,1,,,,,,,
12,27,,,,,,,
12,6,,,,,,,
12,153,,,,,,,
12,154,,,,,,,
12,155,,,,,,,
12,14,,,,,,,
12,15,,,,,,,
12,41,,,,,,,
12,65,,,,,,,
12,156,,,,,,,
12,157,,,,,,,
12,158,,,,,,,
12,11,,,,,,,
12,87,,,,,,,
12,159,,,,,,,
12,160,,,,,,,
12,161,,,,,,,
12,,18,,,,,,
12,,51,,,,,,
12,,52,,,,,,
12,162,,,,,,,
12,163,,,,,,,
12,164,,,,,,,
12,165,,,,,,,
12,166,,,,,,,
12,167,,,,,,,
12,168,,,,,,,
