Major ID,Required Course ID,Required Bucket ID,Required Course,Required Course Name,Required Course Number of Hours,Required Bucket Number of Hours,Required Bucket Name,List of Courses in Bucket
3,62,NULL,,,,,,
3,136,NULL,,,,,,
3,NULL,34,,,,,,
3,NULL,11,,,,,,
3,63,NULL,,,,,,
3,27,NULL,,,,,,
3,,NULL,EF 152,,,,,
3,NULL,NULL,MATH 142,,,,,
3,216,NULL,,,,,,
3,217,NULL,,,,,,
3,14,NULL,,,,,,
3,NULL,23,,,,,,
3,NULL,NULL,MATH 231,,,,,
3,218,NULL,,,,,,
3,219,NULL,,,,,,
3,NULL,8,,,,,,
3,15,NULL,,,,,,
3,98,NULL,,,,,,
3,220,NULL,,,,,,
3,221,NULL,,,,,,
3,222,NULL,,,,,,
3,223,NULL,,,,,,
3,224,NULL,,,,,,
3,225,NULL,,,,,,
3,226,NULL,,,,,,
3,227,NULL,,,,,,
3,228,NULL,,,,,,
3,229,NULL,,,,,,
